face,voice,label
1.0527,4.0529,3
1.9157,3.6879,3
1.3663,3.7176,3
1.5449,6.1975,4
1.1475,6.528,4
1.0453,8.0751,4
1.2028,5.3635,5
0.8152,4.6116,5
0.4248,5.7491,5
1.3768,4.1635,6
0.1479,4.0657,6
1.453,4.5167,6
1.0032,6.711,9
1.0923,6.3129,9
1.3016,6.9581,9
0.868,5.0296,12
1.006,5.9695,12
1.033,5.5734,12
1.8695,4.2776,13
0.8058,4.4697,13
1.1253,4.5361,13
1.3468,5.8292,16
1.1636,5.2096,16
0.9184,5.0517,16
0.7873,6.8383,17
0.9813,6.5936,17
1.3017,7.6971,17
0.4852,5.7539,18
0.3735,5.1624,18
0.32,5.9873,18
0.6666,6.0224,19
1.9583,6.1913,19
0.9821,7.7208,19
0.9028,4.3817,20
1.0166,4.1089,20
1.6369999999999998,5.1148,20
1.2557,6.1537,21
1.3594,5.6603,21
1.4135,6.2343,21
0.9306,6.2113,22
1.0411,5.2454,22
1.5385,5.9749,22
1.1108,7.0191,24
1.2185,6.7832,24
1.2685,8.0152,24
1.0262,6.1871,25
1.3731,6.4754,25
1.4119,5.5762,25
1.101,5.3531,26
0.6593,4.0102,26
0.8638,3.2229,26
1.2917,4.3439,27
1.5645,5.1543,27
1.3697,5.4103,27
1.1453,4.5441,29
1.1263,3.8889,29
0.7719,4.1481,29
0.2776,5.0333,30
0.8095,5.5531,30
0.4465,5.2181,30
1.2112,5.4757,32
1.974,6.397,32
1.4996,6.0179,32
1.1912,4.5043,33
0.6188,4.9776,33
1.1497,5.2453,33
0.9479,3.4189,34
-0.3499,3.7612,34
0.8073,3.9318,34
1.2959,3.3772,35
1.218,3.7760000000000002,35
1.3088,4.5346,35
1.6842,3.9639,36
2.0876,4.4129,36
2.3808,3.7034,36
0.8590000000000001,5.1607,37
0.7787,5.8459,37
0.5261,6.3454,37
0.6538,5.6597,38
1.2201,5.0421,38
1.2207,5.9612,38
0.879,4.4043,40
1.4141,4.2521,40
1.6038,4.6837,40
1.092,3.6898,41
1.6074,3.8982,41
1.7357,3.3138,41
0.5495,5.3816,42
0.5857,6.1967,42
0.6102,5.9575,42
0.7882,3.3854,45
0.5711,3.5629,45
0.5959,4.9976,45
0.9709,4.3281,47
0.9502,4.3934,47
1.3233,4.6974,47
1.0331,4.9707,49
1.3208,5.1653,49
1.1656,5.5712,49
0.1931,5.067,50
0.6587,5.0355,50
-0.1077,5.9058,50
0.8235,3.9417,51
1.4209,4.1501,51
1.1074,3.7606,51
0.4792,4.8608,52
1.3029,4.1517,52
0.7204,4.819,52
0.8174,4.7461,53
0.3802,4.4695,53
0.8049,4.8614,53
0.4359,5.6918,54
0.9988,5.9993,54
1.0414,6.3299,54
1.1274,4.277,55
1.4904,4.1997,55
1.7136,4.1049,55
0.748,5.8941,56
1.5252,6.0074,56
1.0342,6.4537,56
1.2978,5.0047,58
0.7441,4.0953,58
1.3295,4.6894,58
1.7762,7.601,60
1.53,8.1981,60
1.9809999999999999,7.822,60
1.0691,5.4961,61
1.3823,5.6675,61
1.2351,5.1378,61
0.1726,4.586,64
0.5496,4.9065,64
1.0143,5.0995,64
2.3901,5.5052,65
2.539,5.5511,65
2.0833,4.6082,65
0.785,6.0991,66
1.2385,5.3973,66
1.442,6.7821,66
0.5536,3.8606,68
1.2464,4.1697,68
0.4583,4.2225,68
0.2889,4.3755,69
0.59,4.2526,69
0.4882,4.8688,69
1.1195,4.0435,71
0.7917,4.5794,71
0.5752,5.2436,71
0.4647,4.0838,72
0.4776,4.2464,72
0.8497,4.9391,72
1.0122,4.3098,73
1.3224,4.4574,73
1.2398,4.7409,73
1.2876,5.5977,74
1.7366,5.742000000000001,74
2.0349,6.72,74
0.2936,4.7865,75
0.2991,5.6546,75
0.5121,5.4192,75
0.7661,4.6598,78
1.6566,3.7819,78
1.3996,4.6717,78
0.4851,4.9272,79
0.7322,5.6192,79
0.6893,5.4347,79
0.5706,4.7105,80
0.6414,5.7671,80
0.847,5.2761,80
-0.5919,3.9893,82
-0.0417,4.4934,82
1.3745,4.6504,82
1.0577,4.6464,85
1.2099,4.4821,85
